Item Id,Item Name,Qty,Sale Price
2704,AD200 Pro-PC Silicone Fender,7,950
3002,Vertical L Bracket JOBY Vert 3K,9,1700
812,Vanguard PH-113 V Pan Head,1,5000
4199,Vanguard GH-100 Pistol - Grip Ball head,1,5000
4200,Moza Quick Release Baseplate GMA06,1,4000
253,Vanguard Alta CA 203 AT with Gun Head GH-30,1,5000
692,Vanguard Hard Case Vgp-3200,2,2400
692,Vanguard Hard Case Vgp-3200 (Lock Damaged),2,1900
2636,Joby Gorillapod 1K Kit,7,3000
4201,Joby Gorillapod 3K Stand,1,2500
4202,Godox 5-in-1 Reflector Oval 100x150cm,1,500
4206,Umbrella â€“ Silver,1,200
4207,Flash Bracket,3,1200
4208,Small White Umbrella for Flash,1,200
336,Porta Light Tube ,6,250
2448,Insta360 One X2 Lens Guards,3,2000
2687,Insta360 Mounting Bracket for One RS,1,3000
3152,Insta 360 One RS/R Sticky Lens Guards For Dual-Lens 360 Mod (OMS Name: Insta360 RS Lens Guards),6,2000
2631,Blackrapid Lockstar Breathe Carabiner Protector (Pack of 2),1,1500
1955,"Gopro Hero 5 , 6 , 7 Battery",2,1700
1423,Fusion Battery Pack,1,1500
4211,Vanguard Alta CA 203 AT With In-built Pan Head PH-15,1,3000
2872,Insta360 Invisible Selfie Stick ,1,1500
4210,Gopro The Remote,1,6500
165,52mm Neutral Density ND8 Filter,1,800
1452,58mm Neutral Density ND8 Filter (02),1,1000
1665,67mm Neutral Density ND8 Filter (02),1,1500
447,Nikon Battery Pack EN-EL15 (Inventory),13,1500
1515,Nikon Battery Pack EN-EL15b (Inventory),2,2000
